id,destination,company,f_duration,comment,type,f_time
1,Milano Linate,ITA Airways,70,Volo veloce per la capitale della moda. Almeno l'aperitivo è serio.,Business,15:00:00
2,Parigi CDG,Air France,125,Atterraggio in grande stile nella città dell'amore. Innamorati della libertà.,Business/Turismo,15:05:00
3,Londra Heathrow,British Airways,165,"Il mondo intero passa di qui. Tu passa e basta, non fermarti a lavorare!",Business,15:10:00
4,Barcellona,Vueling,110,"Le tapas sono meglio della mensa aziendale, garantito. Vamos!",Turismo,15:15:00
5,Catania,ITA Airways,75,"Arancino (col pizzo) e vista sull'Etna. Esplosivo, proprio come il tuo umore oggi.",Nazionale,15:20:00
6,Londra Stansted,Ryanair,160,Il tempio dei voli low cost. Con 20 euro sei già in un altro stato mentale.,Low Cost,15:25:00
7,Madrid,Iberia,145,"A Madrid nessuno ti chiederà il 'salto ore'. Solo un'altra caña, grazie!",Business,15:30:00
8,Francoforte,Lufthansa,115,"La Manhattan europea. Ma stavolta guardala dal basso di un bar, non da un ufficio.",Business,15:35:00
9,Palermo,Ryanair,70,"Caponata, cannoli e sole. A Palermo lo stress si annega nello zucchero.",Nazionale,15:40:00
10,Amsterdam,KLM,150,Noleggia una bici e pedala lontano dai tuoi doveri. Occhio ai canali!,Business,15:45:00
11,Monaco di Baviera,Lufthansa,95,"Birra, pretzel e giardini inglesi. Prost alla tua libertà ritrovata!",Business,15:50:00
12,Berlino,Ryanair,130,Dalla scrivania alla techno in meno di 3 ore. Portati i vestiti neri.,Turismo,15:55:00
13,Bruxelles,ITA Airways,125,"Cioccolato, cozze e politica. Almeno lì la burocrazia è istituzionale.",Business,16:00:00
14,Nizza,ITA Airways,70,"Costa Azzurra, Promenade des Anglais e un bicchiere di rosé. Très chic!",Business,16:05:00
15,Tel Aviv,EL AL,200,"Spiaggia, startup e vita notturna. Ma oggi niente startup, solo vita!",Business,16:10:00
16,Ginevra,EasyJet,90,Precisione svizzera sul lago. Un posto calmo per chi ha i nervi a fior di pelle.,Business,16:15:00
17,Zurigo,SWISS,95,Efficienza svizzera e bagni nel fiume. Pulizia mentale garantita.,Business,16:20:00
18,Lisbona,Ryanair,185,"Dimentica il file Excel, i pastéis de nata e il fado ti aspettano. Saudade di cosa?",Turismo,16:25:00
19,Atene,Aegean Airlines,120,Vai a consultare l'oracolo: magari sa dirti lui quando finiranno questi progetti.,Turismo,16:30:00
20,Malta,Air Malta,85,"Storia, mare e pastizzi. Un'isola dove il sole splende quasi quanto il tuo desiderio di fuga.",Turismo,16:35:00
21,Milano Linate,ITA Airways,70,Volo veloce per la capitale della moda. Almeno l'aperitivo è serio.,Business,17:00:00
22,Bari,ITA Airways,65,Focaccia barese e lungomare. La felicità esiste e non ha bisogno di slide.,Nazionale,17:05:00
23,Venezia,ITA Airways,65,"Niente auto, solo barche. Un ritmo lento per dimenticare la frenesia.",Nazionale,17:10:00
24,Copenhagen,SAS,155,Hygge e design. La felicità danese è incompatibile con lo straordinario non pagato.,Business,17:15:00
25,Varsavia,LOT,140,"Rinata dalle ceneri, moderna e vibrante. Una sorpresa continua.",Business,17:20:00
26,Istanbul,Turkish Airlines,160,"Due continenti, un solo obiettivo: mangiare kebab e dimenticare l'ufficio.",Business/Hub,17:25:00
27,Cagliari,ITA Airways,65,Un volo sopra il Tirreno e sei nel paradiso sardo. I fenicotteri non mandano email.,Nazionale,17:30:00
28,Marsiglia,Ryanair,85,"Il fascino del vecchio porto e un pastis ghiacciato. La vita è bella, uscendo.",Turismo,17:35:00
29,Manchester,Ryanair,170,"Musica, calcio e spirito operaio. Ma oggi l'unico operaio in sciopero sei tu!",Turismo/Lavoro,17:40:00
30,Dubai,Emirates,350,"Shopping e grattacieli infiniti. Se devi scappare, fallo in grande stile.",Intercontinentale,17:45:00
31,Doha,Qatar Airways,330,Futuro e deserto. Uno scalo verso la libertà o una meta per chi ama il caldo vero.,Intercontinentale,17:50:00
32,New York JFK,ITA Airways,555,"La Grande Mela. Se riesci a farcela lì, riuscirai a licenziarti ovunque.",Intercontinentale,18:00:00
33,Miami,ITA Airways,640,Ocean Drive e palme. Metti gli occhiali da sole e diventa un altro uomo.,Intercontinentale,18:10:00
34,Tirana,Wizz Air,85,Ottimo tempismo! Se scappi ora arrivi in tempo per un buek caldo in centro.,Business/Turismo,18:15:00
35,Praga,Wizz Air,115,La città magica. Una birra in piazza della Città Vecchia e i problemi svaniscono.,Turismo,18:20:00
36,Budapest,Wizz Air,105,Terme e Ruin Pubs. Il posto perfetto per bollire via lo stress lavorativo.,Turismo,18:25:00
37,Vienna,Austrian Airlines,100,"Sacher, valzer e palazzi imperiali. Sentiti un imperatore per un weekend.",Business,18:30:00
38,Lione,EasyJet,95,Bouchon e cucina d'eccellenza. Un tour gastronomico per dimenticare lo stress.,Business/Turismo,18:35:00
39,Tolosa,ITA Airways,105,"La città rosa. Spazio, aeronautica e ottima cucina francese.",Business,18:40:00
40,Cracovia,Ryanair,120,Storia e fascino polacco. E una vodka che ti farà scordare l'ultimo update di Windows.,Turismo,18:45:00
41,Stoccolma,Norwegian,190,Venezia del nord. Eleganza scandinava tra acqua e design.,Turismo,18:50:00
